,,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20,21,21,21,22,22,22,23,23,23,24,24,24,25,25,25,26,26,26,27,27,27,28,28,28,29,29,29,30,30,30,31,31,31,32,32,32,33,33,33,34,34,34,35,35,35,36,36,36,37,37,37,38,38,38,39,39,39,40,40,40,41,41,41,42,42,42,43,43,43,44,44,44,45,45,45
Survey,Date,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
34,15/12/2014,468115.9911,468749.7147,106.5578,468111.0937,468768.3195,111.2695,468106.0162,468787.1849,118.2966,468101.7321,468804.9809,124.1247,468096.1223,468824.1407,128.1911,468090.9974,468843.0631,131.6416,468086.0287,468861.8349,135.5576,468080.9908,468880.7172,139.7361,468076.0164,468899.3306,145.5162,468085.1703,468901.9091,145.4234,468090.146,468883.1628,139.6322,468095.242,468864.2181,136.0678,468100.2229,468845.3037,132.1631,468105.2324,468826.8472,128.9101,468110.2341,468808.2395,124.066,468115.1042,468789.6725,117.4176,468120.1637,468771.0312,111.4781,468125.2992,468752.1231,106.7573,468134.3664,468754.6074,106.9262,468129.4108,468773.3793,111.6013,468124.3458,468792.0748,116.7023,468119.3474,468811.1148,122.4949,468114.37,468829.4916,128.1193,468109.4161,468848.0099,132.322,468104.444,468866.7884,136.1417,468099.4058,468885.4991,138.2262,468094.3316,468904.3355,145.0413,468103.6139,468906.8373,144.1147,468108.623,468887.9406,137.5583,468113.5437,468868.721,135.0558,468118.8316,468850.2298,131.2967,468123.9994,468832.0426,128.0352,468128.5835,468813.296,123.26,468133.5604,468794.5395,117.1263,468138.5903,468775.4208,112.0102,468143.5575,468757.0703,107.2303,468152.7858,468759.5284,108.0932,468147.7879,468778.1896,113.3883,468142.1986,468792.5973,117.8372,468139.0163,468813.428,123.9188,468132.9952,468833.9754,127.911,468128.0788,468852.3811,131.3023,468123.0385,468871.3346,134.7833,468118.1862,468889.6401,137.3344,468114.0198,468905.6427,140.8787
35,15/05/2015,468116.147,468749.5991,107.1354,468111.0688,468768.3309,111.351,468106.0014,468787.2478,118.3835,468101.7191,468804.9682,124.1651,468096.1088,468824.1447,128.2182,468090.9844,468843.0481,131.6732,468086.0427,468861.8414,135.6143,468080.9833,468880.7223,139.7928,468075.9438,468899.4002,145.5793,468085.1745,468901.9046,145.4923,468090.1558,468883.1604,139.6749,468095.2478,468864.2137,136.1233,468100.2121,468845.3023,132.1864,468105.2221,468826.8385,128.9524,468110.2663,468808.2433,124.0667,468115.1191,468789.7599,117.4791,468120.1625,468770.9967,111.5202,468125.3646,468752.2066,106.9141,468134.3961,468754.6556,107.0486,468129.403,468773.3809,111.6592,468124.3799,468792.087,116.739,468119.3329,468811.0611,122.4473,468114.3729,468829.4967,128.1507,468109.3993,468847.9776,132.369,468104.4495,468866.7735,136.1751,468099.3963,468885.5635,138.3383,468094.3103,468904.3242,145.1128,468103.589,468906.8172,144.1447,468108.6345,468887.935,137.5908,468113.5725,468868.7168,135.1441,468118.8275,468850.223,131.3406,468123.9875,468832.0326,128.0749,468128.5766,468813.2811,123.2802,468133.5497,468794.5186,117.1971,468138.5579,468775.4201,112.0626,468143.5713,468757.0954,107.3038,468152.7831,468759.5364,108.1969,468147.7623,468778.1784,113.4813,468142.1409,468792.3455,117.7454,468139.0564,468813.2345,123.8066,468133.0158,468834.0287,128.017,468128.0548,468852.3747,131.2536,468123.0301,468871.3088,134.7763,468118.1878,468889.7034,137.351,468114.0655,468905.6379,140.9645
36,15/11/2015,468115.9982,468749.7077,106.5226,468111.0512,468768.3061,111.3711,468105.9759,468787.1963,118.3743,468101.7226,468804.9717,124.173,468096.1071,468824.1449,128.2501,468090.9706,468843.0537,131.6453,468086.0364,468861.7674,135.5577,468080.9933,468880.7169,139.7842,468075.9792,468899.384,145.5831,468085.1627,468901.9019,145.4484,468090.1312,468883.1813,139.6961,468095.2972,468864.1411,136.1148,468100.2171,468845.3006,132.1733,468105.2096,468826.8349,128.9456,468110.7191,468808.3977,123.8776,468115.119,468789.6626,117.4541,468120.1436,468770.9839,111.5105,468125.3061,468752.1177,106.9404,468134.4115,468754.6583,107.0733,468129.3765,468773.3457,111.6754,468124.3475,468792.0602,116.773,468119.344,468811.0799,122.5215,468114.3527,468829.4661,128.134,468109.4371,468847.9154,132.3266,468104.4392,468866.7824,136.1703,468099.4431,468885.4808,138.2857,468094.3146,468904.3466,145.0809,468103.6199,468906.816,144.188,468108.6674,468887.9429,137.5738,468113.5584,468868.7249,135.148,468118.8484,468850.2378,131.3123,468124.0179,468832.0414,128.1025,468128.6106,468813.2991,123.2991,468133.6049,468794.5543,117.1993,468138.593,468775.4081,112.0287,468143.5843,468757.104,107.304,468152.7996,468759.5232,108.1819,468147.7698,468778.1884,113.4216,468142.1782,468792.336,117.757,468139.0489,468813.2955,123.8625,468133.0026,468833.9278,127.9989,468128.0131,468852.3214,131.4035,468123.0083,468871.2579,134.8735,468118.1424,468889.6515,137.3346,468114.044,468905.5597,140.8996
37,15/12/2015,468115.928,468749.661,106.603,468111.0605,468768.2718,111.3431,468105.9956,468787.1505,118.3418,468101.717,468804.9445,124.143,468096.1409,468824.0852,128.1858,468090.9648,468843.0242,131.6302,468086.0158,468861.8075,135.5858,468080.984,468880.6223,139.7489,468075.9948,468899.3702,145.5514,468085.1478,468901.8876,145.4542,468090.1391,468883.1379,139.64,468095.257,468864.2124,136.1086,468100.2018,468845.2895,132.1744,468105.2276,468826.8268,128.9504,468110.2596,468808.2291,124.0751,468115.1186,468789.6404,117.4331,468120.1701,468771.0124,111.5067,468125.3061,468752.1177,106.9404,468134.3464,468754.579,107.0111,468129.4545,468773.2954,111.6134,468124.3378,468792.0497,116.7667,468119.3155,468810.9178,122.4897,468114.3564,468829.4866,128.1439,468109.3718,468847.9439,132.3165,468104.4375,468866.7767,136.1233,468099.3653,468885.5016,138.2976,468094.317,468904.3227,145.0693,468103.626,468906.8159,144.1744,468108.647,468887.9336,137.5596,468113.5517,468868.7041,135.1018,468118.8583,468850.2041,131.3067,468124.015,468832.0214,128.0595,468128.5792,468813.272,123.2814,468133.5897,468794.4723,117.1709,468138.5795,468775.4037,112.0366,468143.567,468757.0942,107.2936,468152.7989,468759.5131,108.1411,468147.7317,468778.151,113.4925,468142.1647,468792.2977,117.746,468139.0576,468813.2593,123.8532,468132.9902,468833.9482,127.9908,468128.0282,468852.2895,131.3823,468123.0287,468871.2907,134.8081,468118.1406,468889.6348,137.3102,468114.0539,468905.5345,140.9001
38,10/03/2016,468115.961,468749.7411,106.6792,468111.0867,468768.3419,111.4293,468106.0364,468787.1185,118.7401,468101.7434,468804.897,124.1453,468096.1132,468824.0868,128.2329,468090.9689,468842.9526,131.6256,468086.0491,468861.7824,135.5817,468080.9852,468880.6666,139.7676,468076.0117,468899.3459,145.5907,468085.1669,468901.8781,145.4952,468090.1764,468883.0955,139.6379,468095.2674,468864.1376,136.1193,468100.203,468845.2324,132.1591,468105.2293,468826.7919,128.9633,468110.2697,468808.2067,124.0931,468115.1172,468789.7014,117.4566,468120.1449,468770.9808,111.4696,468125.3061,468752.1177,106.9404,468134.4359,468754.655,107.0292,468129.4163,468773.36,111.6558,468124.3569,468792.0641,116.7349,468119.3372,468811.0099,122.4246,468114.3773,468829.4982,128.1537,468109.3784,468847.9218,132.3344,468104.478,468866.7214,136.1602,468099.4125,468885.4858,138.3358,468094.3277,468904.3142,145.078,468103.6714,468906.7847,144.1281,468108.7104,468887.855,137.5297,468113.602,468868.586,135.1133,468118.9236,468850.0922,131.2478,468124.0119,468832.0163,128.0841,468128.5994,468813.2712,123.2816,468133.8871,468793.7433,116.9444,468138.5527,468775.4047,112.0325,468143.6217,468757.0767,107.2603,468152.7853,468759.5157,108.1072,468147.788,468778.1911,113.4848,468142.0636,468791.7857,117.543,468139.1238,468813.0276,123.7221,468133.0507,468833.8742,127.9804,468128.1366,468852.1486,131.2468,468123.1571,468871.126,134.7812,468118.3238,468889.2904,137.2606,468114.3013,468904.8831,140.627
39,21/04/2016,468115.9949,468749.6928,106.672,468111.0961,468768.2969,111.4061,468106.0398,468787.1129,118.7465,468101.7446,468804.8896,124.1596,468096.0974,468824.0678,128.256,468090.987,468842.9595,131.6546,468086.0397,468861.6396,135.6124,468081.2166,468880.2507,139.6126,468075.9538,468899.3572,145.5858,468085.1701,468901.8652,145.5363,468090.6109,468882.1588,139.5897,468095.3039,468863.8087,136.1678,468099.6847,468845.0942,132.1941,468105.2113,468826.7801,129.001,468110.2791,468808.2057,124.1227,468115.107,468789.6763,117.4712,468120.1396,468770.9681,111.5028,468125.3061,468752.1177,106.9404,468134.3483,468754.6118,107.0673,468129.3919,468773.362,111.6709,468124.3561,468792.0528,116.772,468119.3448,468811.0397,122.5108,468114.3532,468829.4938,128.1673,468109.3842,468847.9104,132.3539,468104.6773,468866.2945,136.1941,468099.9971,468884.3678,138.3635,468094.3246,468904.3007,145.1195,468103.6529,468906.7391,144.1947,468109.2532,468886.9052,137.724,468113.7292,468868.3669,135.0745,468118.96,468850.0385,131.2704,468123.9877,468831.993,128.1277,468128.5785,468813.2483,123.3249,468133.8683,468793.6706,116.9298,468138.5779,468775.4209,112.106,468143.5905,468757.0593,107.3165,468152.7742,468759.509,108.1601,468147.772,468778.149,113.4839,468142.0091,468791.524,117.5063,468139.1505,468812.8134,123.6569,468133.1313,468833.8197,128.0402,468128.1392,468852.0579,131.3042,468123.2631,468870.8776,134.8629,468118.6282,468888.7803,137.3754,468114.5065,468904.2538,140.3805
40,30/06/2016,468115.9926,468749.6466,106.5977,468111.0997,468768.3302,111.3955,468106.0533,468787.1324,118.7263,468101.7496,468804.8749,124.1368,468096.1212,468824.0723,128.2433,468090.9739,468842.9246,131.6303,468086.0402,468861.6416,135.5844,468081.3665,468880.0684,139.5211,468075.9399,468899.322,145.6024,468085.1701,468901.8652,145.5363,468090.7994,468881.7361,139.5338,468095.3147,468863.7027,136.1347,468099.6764,468845.1309,132.1747,468105.2159,468826.7874,128.979,468110.2923,468808.2185,124.0809,468115.1077,468789.6297,117.4399,468120.1394,468770.9959,111.5587,468125.3061,468752.1177,106.9404,468134.4002,468754.634,107.0435,468129.4167,468773.3733,111.6467,468124.3524,468792.0878,116.8034,468119.3489,468810.9552,122.4767,468114.3682,468829.4824,128.1616,468109.3976,468847.926,132.3307,468104.8098,468866.0794,136.1884,468100.3151,468883.8119,138.2994,468094.3313,468904.3097,145.0683,468103.6529,468906.7391,144.1947,468109.2532,468886.9052,137.724,468113.9223,468868.1904,135.0672,468118.9626,468850.0397,131.2617,468123.9695,468832.0031,128.0701,468128.6003,468813.2683,123.2922,468133.9131,468793.6464,116.9024,468138.5974,468775.4047,112.0524,468143.5915,468757.0701,107.2946,468152.7814,468759.5338,108.1768,468147.7987,468778.2003,113.4933,468141.9967,468791.5396,117.4504,468139.1701,468812.799,123.628,468133.1172,468833.7873,128.0119,468128.172,468852.0786,131.2062,468123.0221,468870.6363,135.5745,468118.7524,468888.5295,137.2307,468114.6041,468903.9783,140.2421
41,11/08/2016,468115.9914,468749.7338,106.5127,468111.0534,468768.3396,111.2358,468106.0276,468787.1347,118.5128,468101.767,468804.9012,123.946,468096.1327,468824.0584,128.0149,468090.9723,468842.9616,131.4602,468086.0486,468861.6564,135.4008,468081.2874,468880.0164,139.309,468075.9876,468899.3333,145.3864,468085.1701,468901.8652,145.5363,468090.7873,468881.705,139.4195,468095.327,468863.6895,135.8819,468099.6995,468845.1529,131.982,468105.194,468826.7972,128.7774,468110.2715,468808.1944,123.8864,468115.0843,468789.7147,117.3169,468120.1324,468770.9639,111.3235,468125.3061,468752.1177,106.9404,468134.4318,468754.6388,106.8573,468129.3869,468773.3532,111.4567,468124.3456,468792.0672,116.6369,468119.3192,468811.0176,122.3406,468114.3746,468829.4835,127.984,468109.4254,468847.9016,132.1797,468104.774,468866.098,136.0039,468100.35,468883.8186,138.1788,468094.3191,468904.3298,144.8931,468103.6529,468906.7391,144.1947,468109.2532,468886.9052,137.724,468113.7789,468868.2732,134.9393,468118.9571,468850.0026,131.0823,468123.9908,468832.0084,127.8979,468128.5854,468813.2798,123.1316,468133.9297,468793.6578,116.7958,468138.5712,468775.4264,111.9409,468143.5708,468757.0723,107.1347,468152.7858,468759.5391,108.0107,468147.7517,468778.1199,113.2795,468142.0204,468791.5385,117.3028,468139.1437,468812.7795,123.4891,468133.0832,468833.8209,127.7971,468128.1275,468852.0812,131.0804,468123.2713,468870.7981,134.6368,468118.7714,468888.5593,137.0746,468114.6285,468903.9671,140.083
42,22/09/2016,468115.9882,468749.6706,106.6401,468111.1023,468768.3221,111.3822,468106.0337,468787.1267,118.663,468101.7602,468804.8747,124.1308,468096.1327,468824.0584,128.0149,468090.9865,468842.9148,131.5923,468086.0937,468861.6467,135.5746,468081.31,468879.9429,139.4902,468076.0411,468899.3169,145.5128,468085.1701,468901.8652,145.5363,468090.8372,468881.654,139.5179,468095.3426,468863.6757,136.0272,468099.682,468845.1259,132.1591,468105.2161,468826.7929,128.9584,468110.3265,468808.2144,124.0667,468115.1494,468789.6719,117.4064,468120.149,468770.9498,111.536,468125.3061,468752.1177,106.9404,468134.3916,468754.6327,107.0071,468129.4035,468773.3366,111.6426,468124.3696,468792.0828,116.8072,468119.3309,468810.9542,122.4593,468114.3746,468829.4835,127.984,468109.4249,468847.8906,132.3435,468104.792,468866.0647,136.1482,468100.3687,468883.7026,138.301,468094.3013,468904.3106,145.0294,468103.6529,468906.7391,144.1947,468109.5481,468886.3635,137.741,468113.8478,468868.2295,135.0454,468118.926,468849.9897,131.2766,468123.9908,468832.0084,127.8979,468128.5636,468813.2517,123.2673,468133.93,468793.5386,116.8955,468138.5462,468775.4354,112.0883,468143.5632,468757.0212,107.2854,468152.7837,468759.5154,108.1535,468147.7737,468778.1712,113.4787,468142.0337,468791.5156,117.493,468139.1707,468812.8015,123.6097,468133.0907,468833.8149,127.9449,468128.1244,468851.9504,131.3105,468123.2768,468870.7696,134.709,468118.7793,468888.548,137.3356,468114.6923,468903.8812,140.1828
43,16/10/2016,468116.0258,468749.6892,106.5962,468111.0424,468768.3449,111.4131,468106.023,468787.1321,118.6498,468101.7774,468804.9121,124.1313,468096.1538,468824.0466,128.194,468090.9432,468842.8925,131.5867,468086.0533,468861.6527,135.5418,468081.3164,468880.0334,139.4885,468076.002,468899.3782,145.5463,468085.2003,468901.8788,145.4492,468090.8206,468881.6239,139.5397,468095.3431,468863.7143,136.0337,468099.7055,468845.1584,132.1579,468105.2279,468826.8146,128.9669,468110.2604,468808.2315,124.096,468115.0839,468789.7278,117.4847,468120.1597,468771.0158,111.5178,468125.3061,468752.1177,106.9404,468134.4106,468754.6422,107.0353,468129.3956,468773.3721,111.658,468124.3416,468792.0819,116.8015,468119.317,468811.0293,122.5055,468114.3954,468829.4933,128.1515,468109.4048,468847.8995,132.3082,468104.7952,468866.0867,136.1671,468100.3766,468883.7875,138.3431,468094.3113,468904.3212,145.0325,468103.6419,468906.7994,144.121,468109.4981,468886.362,137.7484,468113.7997,468868.2758,135.0623,468118.9689,468850.0503,131.2185,468123.9813,468832.0172,128.0639,468128.5624,468813.2965,123.2796,468133.8852,468793.698,116.8968,468138.5642,468775.4028,112.05,468143.5828,468757.089,107.2828,468152.7854,468759.5461,108.1614,468147.7772,468778.1899,113.4402,468142.0195,468791.5474,117.4394,468139.1673,468812.8379,123.578,468133.1485,468833.8041,127.9846,468128.1395,468852.0106,131.308,468123.2923,468870.7978,134.7044,468118.7516,468888.5275,137.257,468114.6387,468903.975,140.2239
44,29/11/2016,468116.012,468749.6818,106.6547,468111.1095,468768.3059,111.3516,468106.0344,468787.1213,118.7418,468101.7527,468804.8773,124.1746,468096.1468,468824.0236,128.2322,468091.002,468842.9087,131.6965,468086.0504,468861.6092,135.589,468081.3187,468879.9832,139.4993,468076.0322,468899.3172,145.5481,468085.1604,468901.8708,145.515,468090.8346,468881.5527,139.5935,468095.3218,468863.62,136.0918,468099.6574,468845.1392,132.2123,468105.1926,468826.7638,128.9869,468110.2587,468808.1954,124.1246,468115.0825,468789.6739,117.5045,468120.1452,468770.9837,111.5454,468125.3154,468752.0801,106.9472,468134.4385,468754.613,107.0586,468129.391,468773.3562,111.7044,468124.3113,468792.0601,116.8256,468119.3139,468811.0238,122.5275,468114.4064,468829.4403,128.1943,468109.3831,468847.9024,132.3634,468104.8007,468866.0261,136.1888,468100.4268,468883.7062,138.4045,468094.3222,468904.3083,145.105,468103.6526,468906.7782,144.1662,468109.5572,468886.3177,137.7615,468113.889,468868.1196,135.0373,468118.9896,468850.0078,131.2435,468124.0091,468832.0124,128.1051,468128.5566,468813.2717,123.3179,468133.8613,468793.6706,116.9198,468138.4756,468775.3927,112.1082,468143.5711,468757.0649,107.3035,468152.8141,468759.444,108.2151,468147.773,468778.1674,113.5135,468142.0097,468791.517,117.4911,468139.1293,468812.7809,123.674,468133.0774,468833.8552,127.9721,468128.1904,468852.04,131.2888,468123.2671,468870.7652,134.8,468118.8094,468888.5389,137.2928,468114.6246,468903.9253,140.2435
